choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -625.6641640625, time: 12.953598737716675
steps: 50000, episodes: 2000, mean episode reward: -631.2584843749999, time: 25.3124041557312
steps: 75000, episodes: 3000, mean episode reward: -641.41580859375, time: 37.628379821777344
steps: 100000, episodes: 4000, mean episode reward: -681.7560898437499, time: 50.25416326522827
steps: 125000, episodes: 5000, mean episode reward: -654.3878007812499, time: 251.49883842468262
steps: 150000, episodes: 6000, mean episode reward: -618.1951328125001, time: 707.7868888378143
steps: 175000, episodes: 7000, mean episode reward: -605.46571484375, time: 718.7325265407562
steps: 200000, episodes: 8000, mean episode reward: -601.0925, time: 731.2349166870117
steps: 225000, episodes: 9000, mean episode reward: -622.6021953125, time: 744.2089266777039
steps: 250000, episodes: 10000, mean episode reward: -652.6331640625, time: 757.2286779880524
steps: 275000, episodes: 11000, mean episode reward: -691.6250703124999, time: 770.1878337860107
steps: 300000, episodes: 12000, mean episode reward: -740.542015625, time: 782.9701769351959
steps: 325000, episodes: 13000, mean episode reward: -651.29646875, time: 795.8861067295074
steps: 350000, episodes: 14000, mean episode reward: -623.9539921875, time: 808.7650141716003
steps: 375000, episodes: 15000, mean episode reward: -643.9513789062499, time: 821.8368599414825
steps: 400000, episodes: 16000, mean episode reward: -633.6048984375, time: 834.623761177063
steps: 425000, episodes: 17000, mean episode reward: -603.9014140625, time: 847.4102823734283
steps: 450000, episodes: 18000, mean episode reward: -632.8463281249999, time: 860.4576685428619
steps: 475000, episodes: 19000, mean episode reward: -639.6700781249999, time: 873.453045129776
steps: 500000, episodes: 20000, mean episode reward: -622.70905078125, time: 886.3814880847931
steps: 525000, episodes: 21000, mean episode reward: -609.3018828124999, time: 899.2238759994507
steps: 550000, episodes: 22000, mean episode reward: -599.47792578125, time: 912.2683310508728
steps: 575000, episodes: 23000, mean episode reward: -598.9296015625, time: 924.9522640705109
steps: 600000, episodes: 24000, mean episode reward: -608.60391015625, time: 938.091320514679
steps: 625000, episodes: 25000, mean episode reward: -600.5292187499999, time: 951.2181754112244
steps: 650000, episodes: 26000, mean episode reward: -601.20976953125, time: 964.0288300514221
steps: 675000, episodes: 27000, mean episode reward: -600.0341132812499, time: 977.146297454834
steps: 700000, episodes: 28000, mean episode reward: -603.97176171875, time: 990.2686476707458
steps: 725000, episodes: 29000, mean episode reward: -603.5871757812499, time: 1003.3818202018738
steps: 750000, episodes: 30000, mean episode reward: -600.2438749999999, time: 1016.1506478786469
steps: 775000, episodes: 31000, mean episode reward: -605.2785546875, time: 1029.209191083908
steps: 800000, episodes: 32000, mean episode reward: -601.99491796875, time: 1042.0302059650421
steps: 825000, episodes: 33000, mean episode reward: -602.8820625, time: 1054.9967086315155
steps: 850000, episodes: 34000, mean episode reward: -598.0511992187501, time: 1067.9649367332458
steps: 875000, episodes: 35000, mean episode reward: -597.17903515625, time: 1080.9144036769867
steps: 900000, episodes: 36000, mean episode reward: -599.8767890624999, time: 1093.893281698227
steps: 925000, episodes: 37000, mean episode reward: -592.15891015625, time: 1106.913364648819
steps: 950000, episodes: 38000, mean episode reward: -595.75521875, time: 1119.9671664237976
steps: 975000, episodes: 39000, mean episode reward: -606.7509023437501, time: 1132.7906277179718
steps: 1000000, episodes: 40000, mean episode reward: -586.8563671875, time: 1145.5546662807465
steps: 1025000, episodes: 41000, mean episode reward: -590.0113242187499, time: 1158.5720353126526
steps: 1050000, episodes: 42000, mean episode reward: -590.97398828125, time: 1171.4195153713226
steps: 1075000, episodes: 43000, mean episode reward: -593.145890625, time: 1184.3586628437042
steps: 1100000, episodes: 44000, mean episode reward: -584.660171875, time: 1197.3568625450134
steps: 1125000, episodes: 45000, mean episode reward: -583.24764453125, time: 1210.3756659030914
steps: 1150000, episodes: 46000, mean episode reward: -591.635765625, time: 1223.3515079021454
steps: 1175000, episodes: 47000, mean episode reward: -591.1594453125, time: 1236.2595279216766
steps: 1200000, episodes: 48000, mean episode reward: -589.9216054687499, time: 1249.1354305744171
steps: 1225000, episodes: 49000, mean episode reward: -581.2040312500001, time: 1262.2672145366669
steps: 1250000, episodes: 50000, mean episode reward: -586.14945703125, time: 1275.3201639652252
steps: 1275000, episodes: 51000, mean episode reward: -574.53494140625, time: 1288.3505063056946
steps: 1300000, episodes: 52000, mean episode reward: -580.925515625, time: 1301.394475221634
steps: 1325000, episodes: 53000, mean episode reward: -584.18516015625, time: 1314.3892660140991
steps: 1350000, episodes: 54000, mean episode reward: -586.44458984375, time: 1327.280930519104
steps: 1375000, episodes: 55000, mean episode reward: -581.78507421875, time: 1340.233583688736
steps: 1400000, episodes: 56000, mean episode reward: -584.3866328125, time: 1353.3639795780182
steps: 1425000, episodes: 57000, mean episode reward: -593.1064765625, time: 1366.2767615318298
steps: 1450000, episodes: 58000, mean episode reward: -590.6965546875, time: 1379.1647400856018
steps: 1475000, episodes: 59000, mean episode reward: -590.6856953125, time: 1392.3392672538757
steps: 1500000, episodes: 60000, mean episode reward: -594.3912382812499, time: 1405.316602230072
steps: 1525000, episodes: 61000, mean episode reward: -598.50453125, time: 1418.4957795143127
steps: 1550000, episodes: 62000, mean episode reward: -601.3240468749999, time: 1431.2071347236633
steps: 1575000, episodes: 63000, mean episode reward: -599.6389140625, time: 1444.279129743576
steps: 1600000, episodes: 64000, mean episode reward: -594.6789726562499, time: 1457.2821733951569
steps: 1625000, episodes: 65000, mean episode reward: -585.626390625, time: 1470.0527110099792
steps: 1650000, episodes: 66000, mean episode reward: -591.77131640625, time: 1482.9824504852295
steps: 1675000, episodes: 67000, mean episode reward: -592.6771249999999, time: 1495.8668019771576
steps: 1700000, episodes: 68000, mean episode reward: -591.20387890625, time: 1508.779000043869
steps: 1725000, episodes: 69000, mean episode reward: -586.1138359375, time: 1521.8569917678833
steps: 1750000, episodes: 70000, mean episode reward: -590.7948359375001, time: 1534.787081003189
steps: 1775000, episodes: 71000, mean episode reward: -582.5334453125, time: 1547.6891810894012
steps: 1800000, episodes: 72000, mean episode reward: -592.6601093749999, time: 1560.6307287216187
steps: 1825000, episodes: 73000, mean episode reward: -585.0566875, time: 1573.5571339130402
steps: 1850000, episodes: 74000, mean episode reward: -581.0648164062501, time: 1586.6575818061829
steps: 1875000, episodes: 75000, mean episode reward: -591.3095117187501, time: 1599.700702905655
steps: 1900000, episodes: 76000, mean episode reward: -585.26070703125, time: 1612.8032176494598
steps: 1925000, episodes: 77000, mean episode reward: -591.8991640625, time: 1626.0275893211365
steps: 1950000, episodes: 78000, mean episode reward: -588.479390625, time: 1638.9839451313019
steps: 1975000, episodes: 79000, mean episode reward: -579.6645234375001, time: 1652.182629108429
steps: 2000000, episodes: 80000, mean episode reward: -586.0052304687499, time: 1665.1254935264587
steps: 2025000, episodes: 81000, mean episode reward: -587.4499921875, time: 1678.0612535476685
steps: 2050000, episodes: 82000, mean episode reward: -590.0554453125, time: 1691.0422263145447
steps: 2075000, episodes: 83000, mean episode reward: -583.26632421875, time: 1704.0112426280975
steps: 2100000, episodes: 84000, mean episode reward: -583.68826953125, time: 1716.8599698543549
steps: 2125000, episodes: 85000, mean episode reward: -583.128109375, time: 1729.721241235733
steps: 2150000, episodes: 86000, mean episode reward: -593.0005234375001, time: 1742.1024634838104
steps: 2175000, episodes: 87000, mean episode reward: -584.5159726562499, time: 1754.0891163349152
steps: 2200000, episodes: 88000, mean episode reward: -578.2730546874999, time: 1766.0189123153687
steps: 2225000, episodes: 89000, mean episode reward: -589.5982109375001, time: 1778.0104303359985
steps: 2250000, episodes: 90000, mean episode reward: -584.9499531250001, time: 1789.9393455982208
steps: 2275000, episodes: 91000, mean episode reward: -586.02323828125, time: 1801.867017507553
steps: 2300000, episodes: 92000, mean episode reward: -589.2597343750001, time: 1814.0651230812073
steps: 2325000, episodes: 93000, mean episode reward: -582.4495703125, time: 1826.198541879654
steps: 2350000, episodes: 94000, mean episode reward: -588.79846875, time: 1838.2609355449677
steps: 2375000, episodes: 95000, mean episode reward: -583.134125, time: 1850.2488226890564
steps: 2400000, episodes: 96000, mean episode reward: -581.5158515625001, time: 1861.7202191352844
steps: 2425000, episodes: 97000, mean episode reward: -580.04034765625, time: 1872.2405579090118
steps: 2450000, episodes: 98000, mean episode reward: -578.4470429687501, time: 1882.779102563858
steps: 2475000, episodes: 99000, mean episode reward: -583.75347265625, time: 1893.0112578868866
steps: 2500000, episodes: 100000, mean episode reward: -580.31794921875, time: 1903.146789073944

