choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -104.0250068359375, time: 5.227694988250732
steps: 50000, episodes: 2000, mean episode reward: -85.1102099609375, time: 10.874736785888672
steps: 75000, episodes: 3000, mean episode reward: -86.1278212890625, time: 16.64808177947998
steps: 100000, episodes: 4000, mean episode reward: -85.63250830078124, time: 22.425260066986084
steps: 125000, episodes: 5000, mean episode reward: -84.36908789062502, time: 28.280028343200684
steps: 150000, episodes: 6000, mean episode reward: -79.7735234375, time: 34.265066623687744
steps: 175000, episodes: 7000, mean episode reward: -84.2724765625, time: 40.51206350326538
steps: 200000, episodes: 8000, mean episode reward: -82.50179394531251, time: 46.66513681411743
steps: 225000, episodes: 9000, mean episode reward: -85.17274804687501, time: 52.7983124256134
steps: 250000, episodes: 10000, mean episode reward: -85.6785341796875, time: 58.92467546463013
steps: 275000, episodes: 11000, mean episode reward: -84.65484472656252, time: 65.17966723442078
steps: 300000, episodes: 12000, mean episode reward: -94.45913281249999, time: 71.37855005264282
steps: 325000, episodes: 13000, mean episode reward: -88.683306640625, time: 77.5740008354187
steps: 350000, episodes: 14000, mean episode reward: -96.44618359374999, time: 83.70239233970642
steps: 375000, episodes: 15000, mean episode reward: -108.34248730468748, time: 89.97078251838684
steps: 400000, episodes: 16000, mean episode reward: -124.7515, time: 96.3033537864685
steps: 425000, episodes: 17000, mean episode reward: -151.39953417968752, time: 102.58742141723633
steps: 450000, episodes: 18000, mean episode reward: -135.15824707031248, time: 108.97176504135132
steps: 475000, episodes: 19000, mean episode reward: -126.75122656250001, time: 115.37267351150513
steps: 500000, episodes: 20000, mean episode reward: -107.31429003906248, time: 121.65310549736023
steps: 525000, episodes: 21000, mean episode reward: -96.79930078125, time: 127.8399887084961
steps: 550000, episodes: 22000, mean episode reward: -82.9412509765625, time: 133.88891100883484
steps: 575000, episodes: 23000, mean episode reward: -82.22408105468749, time: 140.07337474822998
steps: 600000, episodes: 24000, mean episode reward: -86.14183886718749, time: 146.266051530838
steps: 625000, episodes: 25000, mean episode reward: -90.6415029296875, time: 152.4749264717102
steps: 650000, episodes: 26000, mean episode reward: -89.627130859375, time: 158.66319942474365
steps: 675000, episodes: 27000, mean episode reward: -80.77336572265625, time: 164.87555313110352
steps: 700000, episodes: 28000, mean episode reward: -77.77991357421874, time: 171.11116242408752
steps: 725000, episodes: 29000, mean episode reward: -75.76211816406251, time: 177.33605885505676
steps: 750000, episodes: 30000, mean episode reward: -77.00531835937501, time: 183.7005958557129
steps: 775000, episodes: 31000, mean episode reward: -75.3380625, time: 189.9774763584137
steps: 800000, episodes: 32000, mean episode reward: -73.86103125, time: 196.24932312965393
steps: 825000, episodes: 33000, mean episode reward: -72.20634228515625, time: 202.3435254096985
steps: 850000, episodes: 34000, mean episode reward: -77.00679638671876, time: 208.62101793289185
steps: 875000, episodes: 35000, mean episode reward: -77.98798583984374, time: 214.84962558746338
steps: 900000, episodes: 36000, mean episode reward: -75.47385693359374, time: 221.03436541557312
steps: 925000, episodes: 37000, mean episode reward: -81.55966699218752, time: 227.26923441886902
steps: 950000, episodes: 38000, mean episode reward: -82.60730224609375, time: 233.65298628807068
steps: 975000, episodes: 39000, mean episode reward: -84.83546874999999, time: 239.91500091552734
steps: 1000000, episodes: 40000, mean episode reward: -77.53969970703125, time: 246.20422315597534
steps: 1025000, episodes: 41000, mean episode reward: -75.981236328125, time: 252.40164232254028
steps: 1050000, episodes: 42000, mean episode reward: -73.26709130859373, time: 258.7446882724762
steps: 1075000, episodes: 43000, mean episode reward: -78.58985351562501, time: 265.0344994068146
steps: 1100000, episodes: 44000, mean episode reward: -79.81417138671875, time: 271.3852035999298
steps: 1125000, episodes: 45000, mean episode reward: -72.57634277343749, time: 277.55257511138916
steps: 1150000, episodes: 46000, mean episode reward: -75.8667265625, time: 283.6966083049774
steps: 1175000, episodes: 47000, mean episode reward: -76.355833984375, time: 289.9185719490051
steps: 1200000, episodes: 48000, mean episode reward: -72.501625, time: 296.1914553642273
steps: 1225000, episodes: 49000, mean episode reward: -75.8671474609375, time: 302.4064164161682
steps: 1250000, episodes: 50000, mean episode reward: -73.8794130859375, time: 308.5884065628052
steps: 1275000, episodes: 51000, mean episode reward: -74.0708671875, time: 314.8912863731384
steps: 1300000, episodes: 52000, mean episode reward: -74.58914501953124, time: 321.0189208984375
steps: 1325000, episodes: 53000, mean episode reward: -72.930818359375, time: 327.32250237464905
