choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -104.0250068359375, time: 4.090423822402954
steps: 50000, episodes: 2000, mean episode reward: -85.1102099609375, time: 8.222867488861084
steps: 75000, episodes: 3000, mean episode reward: -86.1278212890625, time: 12.55835771560669
steps: 100000, episodes: 4000, mean episode reward: -85.63250830078124, time: 16.956918478012085
steps: 125000, episodes: 5000, mean episode reward: -84.36908789062502, time: 21.626686573028564
steps: 150000, episodes: 6000, mean episode reward: -79.7735234375, time: 26.38260793685913
steps: 175000, episodes: 7000, mean episode reward: -84.2724765625, time: 31.19631814956665
steps: 200000, episodes: 8000, mean episode reward: -82.50179394531251, time: 36.21058249473572
steps: 225000, episodes: 9000, mean episode reward: -85.17274804687501, time: 41.173847675323486
steps: 250000, episodes: 10000, mean episode reward: -85.6785341796875, time: 46.25485157966614
steps: 275000, episodes: 11000, mean episode reward: -84.65484472656252, time: 51.255438804626465
steps: 300000, episodes: 12000, mean episode reward: -94.45913281249999, time: 56.42392945289612
steps: 325000, episodes: 13000, mean episode reward: -88.683306640625, time: 61.89809012413025
steps: 350000, episodes: 14000, mean episode reward: -96.44618359374999, time: 67.43464350700378
steps: 375000, episodes: 15000, mean episode reward: -108.34248730468748, time: 73.05770611763
steps: 400000, episodes: 16000, mean episode reward: -124.7515, time: 78.56307530403137
steps: 425000, episodes: 17000, mean episode reward: -151.39953417968752, time: 84.14780378341675
steps: 450000, episodes: 18000, mean episode reward: -135.15824707031248, time: 89.85640215873718
steps: 475000, episodes: 19000, mean episode reward: -126.75122656250001, time: 95.61233520507812
steps: 500000, episodes: 20000, mean episode reward: -107.31429003906248, time: 103.06455969810486
steps: 525000, episodes: 21000, mean episode reward: -96.79930078125, time: 110.7012722492218
steps: 550000, episodes: 22000, mean episode reward: -82.9412509765625, time: 117.0124933719635
steps: 575000, episodes: 23000, mean episode reward: -82.22408105468749, time: 123.35308361053467
steps: 600000, episodes: 24000, mean episode reward: -86.14183886718749, time: 129.5875964164734
steps: 625000, episodes: 25000, mean episode reward: -90.6415029296875, time: 135.82742142677307
steps: 650000, episodes: 26000, mean episode reward: -89.627130859375, time: 142.060400724411
steps: 675000, episodes: 27000, mean episode reward: -80.77336572265625, time: 148.3628544807434
