choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -106.07478125, time: 6.649229288101196
steps: 50000, episodes: 2000, mean episode reward: -89.12507080078124, time: 13.910592794418335
steps: 75000, episodes: 3000, mean episode reward: -89.8979287109375, time: 20.37629747390747
steps: 100000, episodes: 4000, mean episode reward: -91.12190234375001, time: 26.539629697799683
steps: 125000, episodes: 5000, mean episode reward: -90.2989755859375, time: 32.818949460983276
steps: 150000, episodes: 6000, mean episode reward: -86.45887011718749, time: 39.11333441734314
steps: 175000, episodes: 7000, mean episode reward: -94.21062500000001, time: 45.43047761917114
steps: 200000, episodes: 8000, mean episode reward: -96.55798925781251, time: 51.84966540336609
steps: 225000, episodes: 9000, mean episode reward: -101.035244140625, time: 58.24734950065613
steps: 250000, episodes: 10000, mean episode reward: -100.186251953125, time: 64.5534815788269
steps: 275000, episodes: 11000, mean episode reward: -98.555353515625, time: 70.9449634552002
steps: 300000, episodes: 12000, mean episode reward: -90.29081640625, time: 77.40110683441162
steps: 325000, episodes: 13000, mean episode reward: -92.03578906250002, time: 86.01190733909607
steps: 350000, episodes: 14000, mean episode reward: -93.2182080078125, time: 101.18923735618591
steps: 375000, episodes: 15000, mean episode reward: -86.831251953125, time: 117.01458978652954
steps: 400000, episodes: 16000, mean episode reward: -83.60628662109374, time: 123.59376573562622
steps: 425000, episodes: 17000, mean episode reward: -85.35330029296874, time: 130.1183636188507
steps: 450000, episodes: 18000, mean episode reward: -90.24714648437501, time: 136.82498598098755
steps: 475000, episodes: 19000, mean episode reward: -91.43510644531248, time: 143.39508938789368
steps: 500000, episodes: 20000, mean episode reward: -91.2825, time: 149.97698521614075
steps: 525000, episodes: 21000, mean episode reward: -96.11783203125, time: 156.70071268081665
steps: 550000, episodes: 22000, mean episode reward: -91.905333984375, time: 163.2761812210083
steps: 575000, episodes: 23000, mean episode reward: -86.79408935546874, time: 170.0476143360138
steps: 600000, episodes: 24000, mean episode reward: -83.92715185546875, time: 176.59393501281738
steps: 625000, episodes: 25000, mean episode reward: -99.04306249999999, time: 183.1492464542389
steps: 650000, episodes: 26000, mean episode reward: -94.9097568359375, time: 189.64662265777588
steps: 675000, episodes: 27000, mean episode reward: -91.64821386718751, time: 196.0522735118866
steps: 700000, episodes: 28000, mean episode reward: -94.2428955078125, time: 202.54039216041565
steps: 725000, episodes: 29000, mean episode reward: -92.94920947265625, time: 209.05851578712463
steps: 750000, episodes: 30000, mean episode reward: -95.42359082031251, time: 215.72052836418152
steps: 775000, episodes: 31000, mean episode reward: -98.637181640625, time: 222.38197493553162
steps: 800000, episodes: 32000, mean episode reward: -98.48796484375, time: 228.9409418106079
steps: 825000, episodes: 33000, mean episode reward: -88.48939306640625, time: 235.48383140563965
steps: 850000, episodes: 34000, mean episode reward: -89.7246806640625, time: 241.77759075164795
steps: 875000, episodes: 35000, mean episode reward: -91.929857421875, time: 248.1931791305542
steps: 900000, episodes: 36000, mean episode reward: -92.32043457031251, time: 254.6518976688385
steps: 925000, episodes: 37000, mean episode reward: -91.33365039062501, time: 261.21768712997437
steps: 950000, episodes: 38000, mean episode reward: -93.2680537109375, time: 267.8124418258667
steps: 975000, episodes: 39000, mean episode reward: -95.495314453125, time: 274.2524607181549
steps: 1000000, episodes: 40000, mean episode reward: -97.258150390625, time: 280.79833340644836
steps: 1025000, episodes: 41000, mean episode reward: -99.95945605468751, time: 287.2226195335388
steps: 1050000, episodes: 42000, mean episode reward: -93.3123916015625, time: 293.6693911552429
steps: 1075000, episodes: 43000, mean episode reward: -93.4860732421875, time: 300.18411445617676
steps: 1100000, episodes: 44000, mean episode reward: -94.8141982421875, time: 306.567330121994
steps: 1125000, episodes: 45000, mean episode reward: -91.904837890625, time: 313.0842282772064
steps: 1150000, episodes: 46000, mean episode reward: -92.0365810546875, time: 319.3492126464844
steps: 1175000, episodes: 47000, mean episode reward: -94.61113671875, time: 325.80640983581543
steps: 1200000, episodes: 48000, mean episode reward: -91.4169951171875, time: 332.01292276382446
steps: 1225000, episodes: 49000, mean episode reward: -96.29870605468751, time: 338.5413691997528
steps: 1250000, episodes: 50000, mean episode reward: -95.57275, time: 345.0076153278351
steps: 1275000, episodes: 51000, mean episode reward: -89.89669140625, time: 351.51528882980347
steps: 1300000, episodes: 52000, mean episode reward: -90.10851416015625, time: 357.99090695381165
steps: 1325000, episodes: 53000, mean episode reward: -93.854791015625, time: 364.44387578964233
steps: 1350000, episodes: 54000, mean episode reward: -94.67673046875, time: 370.8498251438141
steps: 1375000, episodes: 55000, mean episode reward: -96.40365869140626, time: 377.36959528923035
steps: 1400000, episodes: 56000, mean episode reward: -91.72771875, time: 383.64450883865356
steps: 1425000, episodes: 57000, mean episode reward: -92.33052929687501, time: 389.98995661735535
steps: 1450000, episodes: 58000, mean episode reward: -93.27780664062502, time: 396.2420058250427
steps: 1475000, episodes: 59000, mean episode reward: -87.11031640625, time: 402.5188181400299
steps: 1500000, episodes: 60000, mean episode reward: -92.36687792968749, time: 408.6365520954132
steps: 1525000, episodes: 61000, mean episode reward: -89.548658203125, time: 414.83521604537964
steps: 1550000, episodes: 62000, mean episode reward: -83.8110244140625, time: 421.2044789791107
steps: 1575000, episodes: 63000, mean episode reward: -93.546498046875, time: 427.4736342430115
steps: 1600000, episodes: 64000, mean episode reward: -92.41324609375, time: 433.8119866847992
steps: 1625000, episodes: 65000, mean episode reward: -98.6880068359375, time: 439.9946928024292
steps: 1650000, episodes: 66000, mean episode reward: -89.7126494140625, time: 446.1584439277649
steps: 1675000, episodes: 67000, mean episode reward: -85.47491259765627, time: 452.3874454498291
steps: 1700000, episodes: 68000, mean episode reward: -87.12291894531249, time: 458.6611714363098
steps: 1725000, episodes: 69000, mean episode reward: -87.73641210937501, time: 464.9934811592102
steps: 1750000, episodes: 70000, mean episode reward: -87.7938486328125, time: 471.3758690357208
steps: 1775000, episodes: 71000, mean episode reward: -88.00531396484374, time: 477.5742917060852
steps: 1800000, episodes: 72000, mean episode reward: -88.6684306640625, time: 483.8613212108612
steps: 1825000, episodes: 73000, mean episode reward: -93.4857646484375, time: 490.25689148902893
steps: 1850000, episodes: 74000, mean episode reward: -87.25664550781251, time: 496.4679675102234
steps: 1875000, episodes: 75000, mean episode reward: -89.7196796875, time: 502.8287250995636
steps: 1900000, episodes: 76000, mean episode reward: -85.58200732421875, time: 509.2017242908478
steps: 1925000, episodes: 77000, mean episode reward: -90.703541015625, time: 515.4263384342194
steps: 1950000, episodes: 78000, mean episode reward: -85.09648828125, time: 521.5456476211548
steps: 1975000, episodes: 79000, mean episode reward: -86.65857568359374, time: 527.7564001083374
steps: 2000000, episodes: 80000, mean episode reward: -83.395251953125, time: 533.8279454708099
steps: 2025000, episodes: 81000, mean episode reward: -90.60671777343751, time: 539.9900557994843
steps: 2050000, episodes: 82000, mean episode reward: -89.7880927734375, time: 546.0073552131653
steps: 2075000, episodes: 83000, mean episode reward: -90.5930302734375, time: 552.2178189754486
steps: 2100000, episodes: 84000, mean episode reward: -86.67742919921875, time: 558.3601667881012
steps: 2125000, episodes: 85000, mean episode reward: -86.52705712890625, time: 564.4509062767029
steps: 2150000, episodes: 86000, mean episode reward: -82.864421875, time: 570.5835900306702
steps: 2175000, episodes: 87000, mean episode reward: -95.08003222656251, time: 576.7004928588867
