choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -624.22909375, time: 8.790121078491211
steps: 50000, episodes: 2000, mean episode reward: -627.21750390625, time: 19.288421869277954
steps: 75000, episodes: 3000, mean episode reward: -667.8552070312501, time: 28.98809242248535
steps: 100000, episodes: 4000, mean episode reward: -710.9056875000001, time: 38.925196409225464
steps: 125000, episodes: 5000, mean episode reward: -685.2669140625, time: 48.78418159484863
steps: 150000, episodes: 6000, mean episode reward: -637.70896484375, time: 58.67608976364136
steps: 175000, episodes: 7000, mean episode reward: -588.95428125, time: 68.53365874290466
steps: 200000, episodes: 8000, mean episode reward: -597.93558203125, time: 78.46506237983704
steps: 225000, episodes: 9000, mean episode reward: -591.69159375, time: 90.09691762924194
steps: 250000, episodes: 10000, mean episode reward: -595.4354531250001, time: 101.68677687644958
steps: 275000, episodes: 11000, mean episode reward: -602.46571875, time: 113.86649417877197
steps: 300000, episodes: 12000, mean episode reward: -586.2924765625, time: 124.42530941963196
steps: 325000, episodes: 13000, mean episode reward: -597.2203398437499, time: 135.29058456420898
steps: 350000, episodes: 14000, mean episode reward: -594.8838750000001, time: 145.96170711517334
steps: 375000, episodes: 15000, mean episode reward: -596.1784179687501, time: 158.80859923362732
steps: 400000, episodes: 16000, mean episode reward: -596.6014804687501, time: 174.18498134613037
steps: 425000, episodes: 17000, mean episode reward: -598.95905078125, time: 186.60132360458374
steps: 450000, episodes: 18000, mean episode reward: -609.3618359374999, time: 199.2237741947174
steps: 475000, episodes: 19000, mean episode reward: -599.2369414062501, time: 211.73295640945435
steps: 500000, episodes: 20000, mean episode reward: -598.294, time: 232.63134741783142
steps: 525000, episodes: 21000, mean episode reward: -600.489828125, time: 872.832112789154
steps: 550000, episodes: 22000, mean episode reward: -598.33034375, time: 885.3962016105652
steps: 575000, episodes: 23000, mean episode reward: -592.97615234375, time: 898.7719736099243
steps: 600000, episodes: 24000, mean episode reward: -603.0438359375, time: 911.625529050827
steps: 625000, episodes: 25000, mean episode reward: -605.2302109375, time: 924.7261924743652
steps: 650000, episodes: 26000, mean episode reward: -597.465328125, time: 937.577885389328
steps: 675000, episodes: 27000, mean episode reward: -601.1682187499999, time: 950.5884380340576
steps: 700000, episodes: 28000, mean episode reward: -598.41049609375, time: 963.3387916088104
steps: 725000, episodes: 29000, mean episode reward: -587.6310859375, time: 976.2004661560059
steps: 750000, episodes: 30000, mean episode reward: -596.9820273437501, time: 989.0557723045349
steps: 775000, episodes: 31000, mean episode reward: -597.6017226562501, time: 1001.6909339427948
steps: 800000, episodes: 32000, mean episode reward: -594.0819765624999, time: 1014.8445308208466
steps: 825000, episodes: 33000, mean episode reward: -590.14848828125, time: 1027.8230452537537
steps: 850000, episodes: 34000, mean episode reward: -592.0358007812499, time: 1040.5987200737
steps: 875000, episodes: 35000, mean episode reward: -593.1055546874999, time: 1053.3468339443207
steps: 900000, episodes: 36000, mean episode reward: -597.4793476562502, time: 1066.2387578487396
steps: 925000, episodes: 37000, mean episode reward: -587.41420703125, time: 1078.9683711528778
steps: 950000, episodes: 38000, mean episode reward: -584.3874453125, time: 1091.802642583847
steps: 975000, episodes: 39000, mean episode reward: -592.5948476562501, time: 1104.6651225090027
steps: 1000000, episodes: 40000, mean episode reward: -583.4033828125, time: 1117.4704480171204
steps: 1025000, episodes: 41000, mean episode reward: -579.4126835937501, time: 1130.4889032840729
steps: 1050000, episodes: 42000, mean episode reward: -582.47009765625, time: 1143.33926486969
steps: 1075000, episodes: 43000, mean episode reward: -604.2301640625, time: 1156.496265888214
steps: 1100000, episodes: 44000, mean episode reward: -585.2250234374999, time: 1169.5404434204102
steps: 1125000, episodes: 45000, mean episode reward: -585.1698359375, time: 1182.2965965270996
steps: 1150000, episodes: 46000, mean episode reward: -586.5268203125, time: 1195.4286170005798
steps: 1175000, episodes: 47000, mean episode reward: -585.3326210937499, time: 1208.1714715957642
steps: 1200000, episodes: 48000, mean episode reward: -593.71811328125, time: 1221.0977156162262
steps: 1225000, episodes: 49000, mean episode reward: -583.25629296875, time: 1234.0386154651642
steps: 1250000, episodes: 50000, mean episode reward: -587.51817578125, time: 1246.8782787322998
steps: 1275000, episodes: 51000, mean episode reward: -583.74069140625, time: 1259.8552420139313
steps: 1300000, episodes: 52000, mean episode reward: -580.9637968750001, time: 1272.779329776764
steps: 1325000, episodes: 53000, mean episode reward: -585.3680351562499, time: 1285.6340742111206
steps: 1350000, episodes: 54000, mean episode reward: -589.044734375, time: 1298.693082332611
steps: 1375000, episodes: 55000, mean episode reward: -593.272640625, time: 1311.3985605239868
steps: 1400000, episodes: 56000, mean episode reward: -582.5538828124999, time: 1324.3900353908539
steps: 1425000, episodes: 57000, mean episode reward: -591.51248828125, time: 1337.1865861415863
steps: 1450000, episodes: 58000, mean episode reward: -580.281890625, time: 1350.2170646190643
steps: 1475000, episodes: 59000, mean episode reward: -581.5672773437501, time: 1363.2677977085114
steps: 1500000, episodes: 60000, mean episode reward: -584.31453515625, time: 1376.1251940727234
steps: 1525000, episodes: 61000, mean episode reward: -579.6449257812501, time: 1388.803705215454
steps: 1550000, episodes: 62000, mean episode reward: -587.3822265625, time: 1401.6525626182556
steps: 1575000, episodes: 63000, mean episode reward: -578.12036328125, time: 1414.4128513336182
steps: 1600000, episodes: 64000, mean episode reward: -582.94817578125, time: 1427.2951965332031
steps: 1625000, episodes: 65000, mean episode reward: -570.9102578125, time: 1440.40860080719
steps: 1650000, episodes: 66000, mean episode reward: -572.53462890625, time: 1453.246418952942
steps: 1675000, episodes: 67000, mean episode reward: -583.0387265625, time: 1466.093106508255
steps: 1700000, episodes: 68000, mean episode reward: -581.7918984375001, time: 1479.0214297771454
steps: 1725000, episodes: 69000, mean episode reward: -583.01161328125, time: 1492.1095464229584
steps: 1750000, episodes: 70000, mean episode reward: -585.339046875, time: 1504.8566291332245
steps: 1775000, episodes: 71000, mean episode reward: -585.02741015625, time: 1517.812424659729
steps: 1800000, episodes: 72000, mean episode reward: -590.7399062500001, time: 1530.5718755722046
steps: 1825000, episodes: 73000, mean episode reward: -599.4577734375, time: 1543.4640555381775
steps: 1850000, episodes: 74000, mean episode reward: -587.87538671875, time: 1556.452581167221
steps: 1875000, episodes: 75000, mean episode reward: -587.0536171875, time: 1569.429768562317
steps: 1900000, episodes: 76000, mean episode reward: -583.8127421875, time: 1582.26917719841
steps: 1925000, episodes: 77000, mean episode reward: -582.8742109375, time: 1594.9904701709747
steps: 1950000, episodes: 78000, mean episode reward: -582.0579335937499, time: 1607.8744502067566
steps: 1975000, episodes: 79000, mean episode reward: -572.0593125, time: 1620.9695332050323
steps: 2000000, episodes: 80000, mean episode reward: -575.66658203125, time: 1633.9581382274628
steps: 2025000, episodes: 81000, mean episode reward: -585.21584375, time: 1646.7907292842865
steps: 2050000, episodes: 82000, mean episode reward: -588.1796718749999, time: 1659.6853549480438
steps: 2075000, episodes: 83000, mean episode reward: -581.73846875, time: 1672.7561902999878
steps: 2100000, episodes: 84000, mean episode reward: -584.600125, time: 1685.436725139618
steps: 2125000, episodes: 85000, mean episode reward: -579.6851015625, time: 1698.3796081542969
steps: 2150000, episodes: 86000, mean episode reward: -594.5884296874999, time: 1711.0976326465607
steps: 2175000, episodes: 87000, mean episode reward: -589.23016796875, time: 1724.0355920791626
steps: 2200000, episodes: 88000, mean episode reward: -597.2784296875, time: 1736.9659631252289
steps: 2225000, episodes: 89000, mean episode reward: -594.4249453125001, time: 1749.8681049346924
steps: 2250000, episodes: 90000, mean episode reward: -587.27473046875, time: 1762.7179822921753
steps: 2275000, episodes: 91000, mean episode reward: -584.5237109375, time: 1775.7698287963867
steps: 2300000, episodes: 92000, mean episode reward: -589.9390703125, time: 1789.046710729599
steps: 2325000, episodes: 93000, mean episode reward: -580.4292578124999, time: 1802.0937957763672
steps: 2350000, episodes: 94000, mean episode reward: -576.6850234375, time: 1815.2603242397308
steps: 2375000, episodes: 95000, mean episode reward: -582.9575898437499, time: 1828.1937367916107
steps: 2400000, episodes: 96000, mean episode reward: -578.7147851562501, time: 1841.0025289058685
steps: 2425000, episodes: 97000, mean episode reward: -575.86694140625, time: 1854.0576674938202
steps: 2450000, episodes: 98000, mean episode reward: -585.69134765625, time: 1867.0043437480927
steps: 2475000, episodes: 99000, mean episode reward: -583.2165078125, time: 1880.0565965175629
steps: 2500000, episodes: 100000, mean episode reward: -586.004734375, time: 1893.2647755146027

