choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -612.31297265625, time: 6.5477070808410645
steps: 50000, episodes: 2000, mean episode reward: -582.6774765625, time: 14.057249546051025
steps: 75000, episodes: 3000, mean episode reward: -561.7525625, time: 23.627010583877563
steps: 100000, episodes: 4000, mean episode reward: -543.7708476562501, time: 32.75150942802429
steps: 125000, episodes: 5000, mean episode reward: -533.757765625, time: 43.328858613967896
steps: 150000, episodes: 6000, mean episode reward: -519.3645234375, time: 52.848620653152466
steps: 175000, episodes: 7000, mean episode reward: -514.1895781249999, time: 62.38935136795044
steps: 200000, episodes: 8000, mean episode reward: -515.5809570312499, time: 72.18986439704895
steps: 225000, episodes: 9000, mean episode reward: -511.44230078125, time: 81.61039304733276
steps: 250000, episodes: 10000, mean episode reward: -507.95581250000004, time: 91.38424229621887
steps: 275000, episodes: 11000, mean episode reward: -500.49123437500003, time: 101.39894771575928
steps: 300000, episodes: 12000, mean episode reward: -493.9954921875001, time: 111.03466391563416
steps: 325000, episodes: 13000, mean episode reward: -487.739921875, time: 120.94489932060242
steps: 350000, episodes: 14000, mean episode reward: -489.70987109374994, time: 130.9729869365692
steps: 375000, episodes: 15000, mean episode reward: -488.600671875, time: 140.6588273048401
steps: 400000, episodes: 16000, mean episode reward: -486.7945234375, time: 150.47198128700256
steps: 425000, episodes: 17000, mean episode reward: -485.46048046874995, time: 160.11275720596313
steps: 450000, episodes: 18000, mean episode reward: -479.88784375000006, time: 169.8854115009308
steps: 475000, episodes: 19000, mean episode reward: -471.95545312499996, time: 179.79584980010986
steps: 500000, episodes: 20000, mean episode reward: -472.30756249999996, time: 189.4953203201294
steps: 525000, episodes: 21000, mean episode reward: -473.55647656250005, time: 199.1823410987854
steps: 550000, episodes: 22000, mean episode reward: -467.28259765625, time: 208.7171471118927
steps: 575000, episodes: 23000, mean episode reward: -463.546734375, time: 218.30604028701782
steps: 600000, episodes: 24000, mean episode reward: -465.38787890624997, time: 228.1080026626587
steps: 625000, episodes: 25000, mean episode reward: -461.5283437500001, time: 237.69551873207092
steps: 650000, episodes: 26000, mean episode reward: -461.77552734374996, time: 247.44969725608826
steps: 675000, episodes: 27000, mean episode reward: -462.87474609374993, time: 257.18662786483765
steps: 700000, episodes: 28000, mean episode reward: -455.78519921874994, time: 267.10514402389526
steps: 725000, episodes: 29000, mean episode reward: -449.88005859375, time: 276.75772166252136
steps: 750000, episodes: 30000, mean episode reward: -455.00975390625007, time: 286.42864179611206
steps: 775000, episodes: 31000, mean episode reward: -455.75277343749997, time: 296.44323444366455
steps: 800000, episodes: 32000, mean episode reward: -452.80592187499997, time: 306.02209663391113
steps: 825000, episodes: 33000, mean episode reward: -447.57464453125004, time: 315.7478289604187
steps: 850000, episodes: 34000, mean episode reward: -446.04390624999996, time: 325.17470622062683
steps: 875000, episodes: 35000, mean episode reward: -441.49933203125, time: 334.9639382362366
steps: 900000, episodes: 36000, mean episode reward: -441.50466406249996, time: 344.5003399848938
steps: 925000, episodes: 37000, mean episode reward: -436.37103515625006, time: 354.20667600631714
steps: 950000, episodes: 38000, mean episode reward: -435.04765234375, time: 363.9303195476532
steps: 975000, episodes: 39000, mean episode reward: -441.18961328125005, time: 373.5788595676422
steps: 1000000, episodes: 40000, mean episode reward: -433.74734765625, time: 383.38803911209106
steps: 1025000, episodes: 41000, mean episode reward: -429.68994140625, time: 393.14048647880554
steps: 1050000, episodes: 42000, mean episode reward: -437.25955078124997, time: 402.8802742958069
steps: 1075000, episodes: 43000, mean episode reward: -435.53516796875, time: 412.4368484020233
steps: 1100000, episodes: 44000, mean episode reward: -432.1129804687501, time: 421.98729491233826
steps: 1125000, episodes: 45000, mean episode reward: -435.04922265625, time: 431.4562575817108
steps: 1150000, episodes: 46000, mean episode reward: -434.61911328124995, time: 440.8696024417877
steps: 1175000, episodes: 47000, mean episode reward: -430.1786015625, time: 450.5860297679901
steps: 1200000, episodes: 48000, mean episode reward: -429.41287890625, time: 460.24385118484497
steps: 1225000, episodes: 49000, mean episode reward: -432.52096484375005, time: 469.95522928237915
steps: 1250000, episodes: 50000, mean episode reward: -429.798203125, time: 480.2359731197357
steps: 1275000, episodes: 51000, mean episode reward: -427.13856640625, time: 490.17501401901245
steps: 1300000, episodes: 52000, mean episode reward: -427.16466796875, time: 499.78170466423035
steps: 1325000, episodes: 53000, mean episode reward: -430.0843203124999, time: 509.49843645095825
steps: 1350000, episodes: 54000, mean episode reward: -426.99977734375, time: 519.1286215782166
steps: 1375000, episodes: 55000, mean episode reward: -421.8014296875, time: 528.6200335025787
steps: 1400000, episodes: 56000, mean episode reward: -418.07059375, time: 538.3228051662445
steps: 1425000, episodes: 57000, mean episode reward: -418.27945703125, time: 547.7838530540466
steps: 1450000, episodes: 58000, mean episode reward: -420.13688281249995, time: 557.7123098373413
steps: 1475000, episodes: 59000, mean episode reward: -417.65326953125003, time: 567.3502855300903
steps: 1500000, episodes: 60000, mean episode reward: -418.49274218749997, time: 576.8009555339813
steps: 1525000, episodes: 61000, mean episode reward: -413.3564062500001, time: 586.2784152030945
steps: 1550000, episodes: 62000, mean episode reward: -414.932375, time: 595.9225180149078
steps: 1575000, episodes: 63000, mean episode reward: -414.17654296874997, time: 605.2925179004669
steps: 1600000, episodes: 64000, mean episode reward: -412.973515625, time: 615.0545027256012
steps: 1625000, episodes: 65000, mean episode reward: -406.97979687500003, time: 624.5762407779694
steps: 1650000, episodes: 66000, mean episode reward: -403.4657890625, time: 634.3564565181732
steps: 1675000, episodes: 67000, mean episode reward: -405.57436328124993, time: 643.9610846042633
steps: 1700000, episodes: 68000, mean episode reward: -403.68321484375, time: 653.8502008914948
steps: 1725000, episodes: 69000, mean episode reward: -403.95067968750004, time: 663.7602334022522
steps: 1750000, episodes: 70000, mean episode reward: -404.64702734375, time: 673.4009525775909
steps: 1775000, episodes: 71000, mean episode reward: -400.37007421875006, time: 682.7764551639557
steps: 1800000, episodes: 72000, mean episode reward: -406.0983125, time: 692.547105550766
steps: 1825000, episodes: 73000, mean episode reward: -403.588828125, time: 702.1964790821075
steps: 1850000, episodes: 74000, mean episode reward: -400.91639843750005, time: 712.22798371315
steps: 1875000, episodes: 75000, mean episode reward: -400.29962109375003, time: 721.8792872428894
steps: 1900000, episodes: 76000, mean episode reward: -394.68012109375, time: 731.5852382183075
steps: 1925000, episodes: 77000, mean episode reward: -397.08095312500006, time: 741.28125
steps: 1950000, episodes: 78000, mean episode reward: -396.56722265625, time: 750.9612271785736
steps: 1975000, episodes: 79000, mean episode reward: -394.1238515625, time: 760.9166595935822
steps: 2000000, episodes: 80000, mean episode reward: -394.24712890625, time: 770.8181111812592
steps: 2025000, episodes: 81000, mean episode reward: -393.36627734374997, time: 780.7182519435883
steps: 2050000, episodes: 82000, mean episode reward: -390.70371484375, time: 790.7440898418427
steps: 2075000, episodes: 83000, mean episode reward: -385.21828125, time: 800.2809908390045
steps: 2100000, episodes: 84000, mean episode reward: -383.6180703125, time: 811.286883354187
steps: 2125000, episodes: 85000, mean episode reward: -385.20411328125, time: 820.6707165241241
