choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -99.00154296874999, time: 7.042818069458008
steps: 50000, episodes: 2000, mean episode reward: -76.40430859374999, time: 13.331844568252563
steps: 75000, episodes: 3000, mean episode reward: -76.875517578125, time: 19.62365436553955
steps: 100000, episodes: 4000, mean episode reward: -75.29437988281249, time: 26.128169298171997
steps: 125000, episodes: 5000, mean episode reward: -77.0820068359375, time: 32.55764436721802
steps: 150000, episodes: 6000, mean episode reward: -71.21958691406249, time: 38.97632098197937
steps: 175000, episodes: 7000, mean episode reward: -79.29131298828125, time: 45.259122133255005
steps: 200000, episodes: 8000, mean episode reward: -74.56691406249999, time: 51.7391676902771
steps: 225000, episodes: 9000, mean episode reward: -74.38586279296875, time: 58.01466774940491
steps: 250000, episodes: 10000, mean episode reward: -73.42730029296874, time: 64.55197668075562
steps: 275000, episodes: 11000, mean episode reward: -65.937396484375, time: 70.87598538398743
steps: 300000, episodes: 12000, mean episode reward: -64.78304931640625, time: 77.26887845993042
steps: 325000, episodes: 13000, mean episode reward: -65.54032861328125, time: 83.72548031806946
steps: 350000, episodes: 14000, mean episode reward: -64.89752392578126, time: 90.114422082901
steps: 375000, episodes: 15000, mean episode reward: -68.843716796875, time: 96.56044125556946
steps: 400000, episodes: 16000, mean episode reward: -72.83665234375, time: 102.89740800857544
steps: 425000, episodes: 17000, mean episode reward: -82.35063671875, time: 109.30275011062622
steps: 450000, episodes: 18000, mean episode reward: -88.635203125, time: 115.59334444999695
steps: 475000, episodes: 19000, mean episode reward: -104.47890234375, time: 121.93991708755493
steps: 500000, episodes: 20000, mean episode reward: -118.60545507812499, time: 128.252099275589
steps: 525000, episodes: 21000, mean episode reward: -103.3766875, time: 134.763662815094
steps: 550000, episodes: 22000, mean episode reward: -100.7817822265625, time: 141.0470380783081
steps: 575000, episodes: 23000, mean episode reward: -93.1211376953125, time: 148.3006682395935
steps: 600000, episodes: 24000, mean episode reward: -80.09971826171875, time: 157.09874844551086
steps: 625000, episodes: 25000, mean episode reward: -81.63425830078124, time: 165.26769280433655
steps: 650000, episodes: 26000, mean episode reward: -79.57620507812499, time: 171.71083045005798
steps: 675000, episodes: 27000, mean episode reward: -77.39540527343749, time: 178.35154366493225
steps: 700000, episodes: 28000, mean episode reward: -80.51897021484375, time: 184.62459993362427
steps: 725000, episodes: 29000, mean episode reward: -76.58632861328125, time: 191.05815410614014
steps: 750000, episodes: 30000, mean episode reward: -73.57460986328124, time: 197.31096625328064
steps: 775000, episodes: 31000, mean episode reward: -73.18219775390625, time: 203.6779444217682
steps: 800000, episodes: 32000, mean episode reward: -70.10024755859375, time: 210.0682303905487
steps: 825000, episodes: 33000, mean episode reward: -67.74056982421874, time: 216.42211771011353
steps: 850000, episodes: 34000, mean episode reward: -72.064029296875, time: 222.84914636611938
steps: 875000, episodes: 35000, mean episode reward: -70.85077832031251, time: 230.8844130039215
steps: 900000, episodes: 36000, mean episode reward: -69.43281884765625, time: 239.26424264907837
steps: 925000, episodes: 37000, mean episode reward: -71.997357421875, time: 260.6670069694519
steps: 950000, episodes: 38000, mean episode reward: -77.4319423828125, time: 267.5747284889221
steps: 975000, episodes: 39000, mean episode reward: -71.4875595703125, time: 274.06607151031494
steps: 1000000, episodes: 40000, mean episode reward: -70.65153124999999, time: 280.50975346565247
steps: 1025000, episodes: 41000, mean episode reward: -72.4565673828125, time: 286.83873558044434
steps: 1050000, episodes: 42000, mean episode reward: -72.03991308593751, time: 293.2359194755554
steps: 1075000, episodes: 43000, mean episode reward: -74.78802099609373, time: 299.657527923584
steps: 1100000, episodes: 44000, mean episode reward: -73.0067294921875, time: 305.9948935508728
steps: 1125000, episodes: 45000, mean episode reward: -67.14150781250001, time: 312.53050565719604
