choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -606.8849765625, time: 9.262416124343872
steps: 50000, episodes: 2000, mean episode reward: -602.56191796875, time: 19.121994972229004
steps: 75000, episodes: 3000, mean episode reward: -592.64626953125, time: 30.657917022705078
steps: 100000, episodes: 4000, mean episode reward: -606.18750390625, time: 43.154428005218506
steps: 125000, episodes: 5000, mean episode reward: -672.8804257812501, time: 54.072046995162964
steps: 150000, episodes: 6000, mean episode reward: -645.166484375, time: 65.35960698127747
steps: 175000, episodes: 7000, mean episode reward: -611.204015625, time: 76.55554413795471
steps: 200000, episodes: 8000, mean episode reward: -586.010921875, time: 87.50598812103271
steps: 225000, episodes: 9000, mean episode reward: -588.6897109375001, time: 98.53605127334595
steps: 250000, episodes: 10000, mean episode reward: -595.7308164062499, time: 109.55397748947144
steps: 275000, episodes: 11000, mean episode reward: -598.605671875, time: 120.77173709869385
steps: 300000, episodes: 12000, mean episode reward: -585.16220703125, time: 131.88626623153687
steps: 325000, episodes: 13000, mean episode reward: -595.8958515625, time: 143.14083003997803
steps: 350000, episodes: 14000, mean episode reward: -604.68875, time: 154.24008202552795
steps: 375000, episodes: 15000, mean episode reward: -604.5458671875, time: 165.43003916740417
steps: 400000, episodes: 16000, mean episode reward: -604.0473515625, time: 176.39766478538513
steps: 425000, episodes: 17000, mean episode reward: -579.0283671875001, time: 187.59496784210205
steps: 450000, episodes: 18000, mean episode reward: -591.943671875, time: 198.73814964294434
steps: 475000, episodes: 19000, mean episode reward: -591.54506640625, time: 209.8052523136139
steps: 500000, episodes: 20000, mean episode reward: -599.385859375, time: 220.90406584739685
steps: 525000, episodes: 21000, mean episode reward: -602.66158203125, time: 231.98947143554688
steps: 550000, episodes: 22000, mean episode reward: -592.94542578125, time: 243.40978455543518
steps: 575000, episodes: 23000, mean episode reward: -600.1807890625, time: 254.24522972106934
steps: 600000, episodes: 24000, mean episode reward: -588.36573046875, time: 265.5401659011841
steps: 625000, episodes: 25000, mean episode reward: -599.83155078125, time: 276.51496171951294
steps: 650000, episodes: 26000, mean episode reward: -598.2941953125, time: 287.5474429130554
steps: 675000, episodes: 27000, mean episode reward: -603.7042890625, time: 298.8677589893341
steps: 700000, episodes: 28000, mean episode reward: -596.83590625, time: 310.2701942920685
steps: 725000, episodes: 29000, mean episode reward: -593.2335703125, time: 321.47729778289795
steps: 750000, episodes: 30000, mean episode reward: -596.3896523437501, time: 332.643709897995
steps: 775000, episodes: 31000, mean episode reward: -598.26783203125, time: 343.7672064304352
steps: 800000, episodes: 32000, mean episode reward: -591.406578125, time: 354.9478340148926
steps: 825000, episodes: 33000, mean episode reward: -590.26546875, time: 366.1799154281616
steps: 850000, episodes: 34000, mean episode reward: -590.18366796875, time: 377.18853974342346
steps: 875000, episodes: 35000, mean episode reward: -599.7013476562499, time: 388.1290102005005
steps: 900000, episodes: 36000, mean episode reward: -597.3437109375001, time: 399.27736020088196
steps: 925000, episodes: 37000, mean episode reward: -589.0318593750001, time: 410.365642786026
steps: 950000, episodes: 38000, mean episode reward: -591.5406484375001, time: 421.54480171203613
steps: 975000, episodes: 39000, mean episode reward: -587.34514453125, time: 432.6467854976654
steps: 1000000, episodes: 40000, mean episode reward: -583.6604843749999, time: 443.8441171646118
steps: 1025000, episodes: 41000, mean episode reward: -585.4292890625001, time: 454.7986595630646
steps: 1050000, episodes: 42000, mean episode reward: -597.7737773437501, time: 465.96849155426025
steps: 1075000, episodes: 43000, mean episode reward: -585.5628750000001, time: 477.0093080997467
steps: 1100000, episodes: 44000, mean episode reward: -587.77808984375, time: 488.1083390712738
steps: 1125000, episodes: 45000, mean episode reward: -575.8933124999999, time: 499.22227478027344
steps: 1150000, episodes: 46000, mean episode reward: -580.747, time: 510.44054889678955
steps: 1175000, episodes: 47000, mean episode reward: -578.74921875, time: 521.2112367153168
steps: 1200000, episodes: 48000, mean episode reward: -585.30858203125, time: 531.9499340057373
steps: 1225000, episodes: 49000, mean episode reward: -592.726828125, time: 542.6227283477783
steps: 1250000, episodes: 50000, mean episode reward: -592.27125, time: 552.8477692604065
steps: 1275000, episodes: 51000, mean episode reward: -576.9399921875, time: 563.2571015357971
steps: 1300000, episodes: 52000, mean episode reward: -588.988515625, time: 573.3876473903656
steps: 1325000, episodes: 53000, mean episode reward: -592.0902148437501, time: 583.4680893421173
steps: 1350000, episodes: 54000, mean episode reward: -592.4488984375, time: 593.5281343460083
steps: 1375000, episodes: 55000, mean episode reward: -575.3026367187499, time: 603.563559293747
steps: 1400000, episodes: 56000, mean episode reward: -587.8453203125, time: 613.6812453269958
steps: 1425000, episodes: 57000, mean episode reward: -577.40836328125, time: 623.7371032238007
steps: 1450000, episodes: 58000, mean episode reward: -581.6356328124999, time: 633.5410628318787
steps: 1475000, episodes: 59000, mean episode reward: -578.515265625, time: 643.5023651123047
steps: 1500000, episodes: 60000, mean episode reward: -581.3530234375, time: 653.6422951221466
steps: 1525000, episodes: 61000, mean episode reward: -581.2429296875001, time: 663.7183408737183
steps: 1550000, episodes: 62000, mean episode reward: -576.695234375, time: 673.9353115558624
steps: 1575000, episodes: 63000, mean episode reward: -575.80162890625, time: 684.1151707172394
steps: 1600000, episodes: 64000, mean episode reward: -565.56149609375, time: 694.1454265117645
steps: 1625000, episodes: 65000, mean episode reward: -572.25413671875, time: 704.3464119434357
steps: 1650000, episodes: 66000, mean episode reward: -572.5793593750001, time: 714.5568702220917
steps: 1675000, episodes: 67000, mean episode reward: -568.5730546875, time: 724.7611083984375
steps: 1700000, episodes: 68000, mean episode reward: -567.7871953125001, time: 734.8275740146637
steps: 1725000, episodes: 69000, mean episode reward: -567.84883203125, time: 744.7308285236359
steps: 1750000, episodes: 70000, mean episode reward: -568.8298593750001, time: 755.0011789798737
steps: 1775000, episodes: 71000, mean episode reward: -555.699203125, time: 765.3683433532715
steps: 1800000, episodes: 72000, mean episode reward: -564.5675625, time: 775.2273762226105
steps: 1825000, episodes: 73000, mean episode reward: -566.2528515625, time: 785.3183224201202
steps: 1850000, episodes: 74000, mean episode reward: -565.2743828125001, time: 795.558678150177
steps: 1875000, episodes: 75000, mean episode reward: -572.3716796875001, time: 805.9352974891663
steps: 1900000, episodes: 76000, mean episode reward: -564.74746484375, time: 816.0851140022278
steps: 1925000, episodes: 77000, mean episode reward: -559.94196484375, time: 826.0907938480377
steps: 1950000, episodes: 78000, mean episode reward: -561.1277539062501, time: 836.2276284694672
steps: 1975000, episodes: 79000, mean episode reward: -561.81302734375, time: 846.3556957244873
steps: 2000000, episodes: 80000, mean episode reward: -561.2995585937499, time: 856.1923892498016
steps: 2025000, episodes: 81000, mean episode reward: -562.0185625, time: 865.9666531085968
